"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"1","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"2","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"3","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"4","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","p"
"6","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"7","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"9","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"11","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"13","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"14","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"15","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"16","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"17","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"18","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","p"
"20","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"22","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"23","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"24","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"25","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"26","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"27","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"30","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"31","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"32","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"33","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"36","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"37","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","e"
"38","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"40","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"41","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"43","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"47","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"48","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"49","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"50","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"51","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"52","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"54","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"55","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"56","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"57","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"58","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"60","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","e"
"61","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","e"
"64","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"66","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"68","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"69","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"70","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"74","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"75","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"76","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"77","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"78","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"79","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"80","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"81","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"82","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"83","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"85","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"88","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"90","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","e"
"91","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"92","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"93","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"94","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"96","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"97","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"99","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"101","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"102","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"103","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
